순서,Gain,Exposure,선택이유,개별유효율,포화율,저변조도율,평균M,융합유효율,개선량
1,16,156,기본 조건,79.24132364810332,0.5942292171105731,20.16444713478612,56.225494384765625,79.24132364810332,79.24132364810332
2,16,900,어두움 고정 → Exposure 900으로 높임,88.23042776432607,0.7021791767554479,11.067393058918483,53.50349044799805,96.61370056497175,17.372376916868433
