조건번호,게인,노출,기본조건,전체물체영역_선택비율,유효영역_선택비율,개별조건_유효비율,개별조건_포화비율,개별조건_평균변조도
0,16,156,예,79.7664447134786,79.24132364810332,79.24132364810332,0.5942292171105731,56.225494384765625
1,16,900,아니오,20.233555286521387,17.372376916868443,88.23042776432607,0.7021791767554479,53.50349044799805
